name,style,abv,ibu,color
Avg. Perfect Northeast IPA (NEIPA),Specialty IPA: New England IPA,6.5,59.26,5.2 °L
Sierra Nevada Pale Ale Clone,American Pale Ale,5.58,39.79,8 °L
Vanilla Cream Ale,Cream Ale,5.48,19.44,4.83 °L
Zombie Dust Clone - ALL GRAIN,American IPA,5.94,62.42,8.5 °L
Russian River Pliny The Elder (original),Imperial IPA,7.09,232.89,6.33 °L
Spotted Clown (New Glarus Spotted Cow Clone),Cream Ale,5.36,21.27,5.94 °L
Chocolate Vanilla Porter,Robust Porter,5.77,31.36,34.76 °L
Southern Tier Pumking Clone,Holiday/Winter Special Spiced Beer,8.16,50.22,15.64 °L
Zombie Dust Clone - EXTRACT,American IPA,6.16,70.18,8.98 °L
Mango Habanero IPA,Imperial IPA,8.88,98.09,8.55 °L
Bakke Brygg Belgisk Blond 50 L,Belgian Blond Ale,6.52,18.54,4.35 °L
Tank 7 Clone,Saison,7.63,41.11,6.25 °L
White IPA,American IPA,6.2,55.96,3.91 °L
Bells Two Hearted Clone,American IPA,7.14,63.62,8.1 °L
Pilsner Urquell BYO Clone,Bohemian Pilsener,4.92,36.45,3.61 °L
Racer 5 IPA Clone,American IPA,7.07,73.63,6.28 °L
Sam Adams Rebel IPA Clone,American IPA,6.51,45.32,10.54 °L
Bakke Brygg HveteIPA 25 L,American IPA,6.76,64.26,7.78 °L
New Glarus Fat Squirrel Clone,Northern English Brown,4.61,22.81,12.56 °L
Hop Notch Clone,American IPA,6.62,71.54,14.26 °L
NEIPA Hoppy ( Juicy) -  Braumeister 20L,Specialty IPA: New England IPA,6.46,49.01,4.6 °L
Goose Island IPA Clone,English IPA,6.63,51.93,9.47 °L
Bill's Double Chocolate Milk Stout,Sweet Stout,5.87,33.9,41.27 °L
NEIPA - Tired Hands Milkshake,American IPA,5.87,72.32,3.56 °L
Simple Citra IPA - One Gallon,American IPA,6.1,40.9,11.45 °L
Hazy Juicy IPA,American IPA,6.51,98.86,4.26 °L
Lagunitas IPA Clone,English IPA,6.17,54.51,5.85 °L
Ballast Point Sculpin Ale Clone,Imperial IPA,8.43,68.21,6.26 °L
Brooklyn Sorachi Ace,Saison,9.1,33,4.1 °L
Heineken Lager Clone,Premium American Lager,5.41,24.28,3.3 °L
Brewdog Punk IPA Clone,American IPA,5.7,40.7,4.82 °L
Pilsner Urquell National Award-Winning Clone (Decoction And Non-Decoction Version),Czech Premium Pale Lager,5,34.83,2.92 °L
Dry Irish Stout: Guinness Clone,Dry Stout,4.44,35.43,31.4 °L
Great Lakes Christmas Ale Clone,Winter Seasonal Beer,7.16,30.71,10.98 °L
Easy Blonde Ale,Blonde Ale,4.48,22.6,4.15 °L
Cascade Pale Ale,American Pale Ale,5.24,38.07,3.79 °L
Julius | Tree House Brewing (approximation) Braumeister 20L,American IPA,6.6,42.96,5.57 °L
Tree House Julius Clone,American IPA,6.26,77.09,6.93 °L
New England IPA,American IPA,6.93,69.23,6.82 °L
Dale's Pale Ale Clone,American Pale Ale,6.6,83.71,11.69 °L
Blood Orange IPA Clone,American IPA,6.47,61.25,8.23 °L
Biermuncher's Centennial Blonde,Blonde Ale,3.83,23.57,3.73 °L
Hoegaarden Clone,Weizen/Weissbier,5.18,14.69,4.05 °L
Bud Light Clone,Light American Lager,4.38,10.77,2.1 °L
Oatmeal Cookie Ale,American Brown Ale,5.53,20.8,18.8 °L
Grapefruit IPA,American IPA,5.31,59.97,5.82 °L
Kronenbourg 1664 Blanc Klone,Witbier,5.36,18.92,3.26 °L
Hey Mango IPA,American IPA,6.31,47.13,4.41 °L
Siddhartha Of Suburbia Saison,Saison,7.66,28.21,6.24 °L
Miller Lite Clone,American Light Lager,4.41,14.81,2.48 °L
Easy Imperial IPA (Double IPA),Imperial IPA,8.51,126.11,8.08 °L
Raging Red Irish Red Ale,Irish Red Ale,6.13,38.31,15.23 °L
The Devil Is In The Details (Duvel Clone),Belgian Golden Strong Ale,8.4,33.46,3.11 °L
Bakke Brygg Kölsch 25 L,Kölsch,4.86,23.49,3.45 °L
Founders All Day IPA Clone,American Pale Ale,5.55,42.38,8.14 °L
Mango Blonde Ale V2.2,Blonde Ale,4.77,21.99,3.73 °L
Milkshake Style IPA Clone,American IPA,7.05,56.68,7.06 °L
Coors Light Clone,Light American Lager,3.7,23.57,2.83 °L
Trillium Inspired Pale Ale Clone,Double IPA,7.01,72.7,5.67 °L
Kilkenny Irish Cream Ale Clone,Irish Red Ale,5.34,27.34,27.63 °L
Rochefort 10 Clone,Belgian Dark Strong Ale,11.3,27,20.93 °L
Jeremiah Red Clone,Irish Red Ale,7.07,29.03,16.04 °L
Sierra Nevada Pale Ale Clone,American IPA,5.57,34.21,10.33 °L
Corona Clone?,International Pale Lager,4.67,19.6,4.15 °L
Bakke Brygg Julelager 25 L,Traditional Bock,6.53,26.69,18.96 °L
Budvar Original Clone,Czech Premium Pale Lager,4.95,28.56,4.65 °L
Founders Porter Clone,Robust Porter,6.06,34.91,40 °L
Heady Topper Clone,Double IPA,8.03,123.51,6.04 °L
Blue Moon Belgian White,Witbier,5.17,12.18,3.87 °L
Hoppy Mango Kettle Sour,Mixed-Fermentation Sour Beer,5.96,10.12,5.04 °L
Bell's Two Hearted (Official Clone Recipe),American IPA,6.91,70.13,6.81 °L
Syntax Error IPA II,American IPA,7.2,105.67,7.77 °L
Belgian Strong Pale - La Chouffe,Belgian Golden Strong Ale,8.14,24.96,4.28 °L
Mosaic IPA,American IPA,7.24,67.25,7.68 °L
Elvis Juice V2.0,American IPA,6.45,32.49,6.76 °L
Cigar City Jai Alai Clone,Imperial IPA,7.89,89.8,11.3 °L
Bakke Brygg Robust Porter 50 L,Robust Porter,5.93,36.24,34.44 °L
Belgian Wit,Witbier,4.85,18.9,3.33 °L
Vanilla Caramel Cream Ale,Cream Ale,5.43,26.45,10.08 °L
1664 Blanc Clone,Witbier,5.87,23.21,3.11 °L
Chocolate Peanut Butter Oatmeal Stout,Oatmeal Stout,6.39,28.69,40 °L
Samuel Adams - Boston Lager Clone,German Pilsner (Pils),4.93,33.02,9.89 °L
Classic German Hefe Weissbier,Weizen/Weissbier,5.5,16.26,3.99 °L
Citra SMaSH,American Pale Ale,6.12,32.02,3.99 °L
Rebel Grapefruit IPA Clone,American IPA,6.54,60.4,8.86 °L
Nugget Nectar Clone,American Amber Ale,7.5,93,8.48 °L
NEIPA | Tired Hands Milkshake (approximation) Braumeister 20L,Double IPA,6.42,56.83,6.27 °L
West Coast Ipa,American IPA,6.13,62.68,6.97 °L
Stone & Wood Pacific Ale,American Pale Ale,5.05,15.61,4.63 °L
Michelob Ultra,American Light Lager,3.32,10.24,2.34 °L
All Grain American Honey Wheat,American Wheat or Rye Beer,5.97,27.74,3.76 °L
Breck Vanilla Porter Clone,Robust Porter,5.38,16.6,46.1 °L
Kama Citra Session IPA,American IPA,5.31,48.96,7.35 °L
Bud Light Clone,American Light Lager,4.17,11.99,2.37 °L
Bavarian Hefeweizen,Weizen/Weissbier,4.45,13.29,3.65 °L
Bakke Brygg Imperial Stout 20 L,Russian Imperial Stout,9.67,69.25,50 °L
Orange Mohawk (Shock Top Clone),Witbier,5.22,14.55,4.31 °L
Four Pines Pale Ale,American Pale Ale,4.97,35.03,10.29 °L
Chocolate Imperial Stout,American Stout,9.16,26.46,40 °L
Raspberry Wheat Ale,Fruit Beer,6.1,27.41,6.86 °L
Pliny The Younger Clone,Imperial IPA,10.34,113.05,6.34 °L
NEIPA,American IPA,5.73,34.94,5.6 °L
VGB Paulaner Hefe-Weissbier Clone,Weissbier,5.82,14.7,7.68 °L
Kronenbourg Blanc Clone (Été Dans Une Verre),Witbier,5.87,20,3.5 °L
"Zatarain's Root Beer - Non-Alcoholic, Keg Instructions",No Profile Selected,4.27,0,3.99 °L
Fat Head's Headhunter IPA Clone,American IPA,7.52,80.4,7.3 °L
Southern Tier Crème Brûlée Clone,Specialty Beer,9.48,52.44,40 °L
Hill Farmstead Edward Clone,American Pale Ale,5.32,49.47,4.65 °L
Tripel Karmeliet Clone,Belgian Tripel,9.17,24.66,4.06 °L
Caribou Slobber (All Grain),American Brown Ale,5.57,38.2,20.59 °L
Moktoberfest V2.8,Oktoberfest/Märzen,5.23,22.93,8.46 °L
Leffe Blonde Clone,Belgian Blond Ale,6.88,17.39,6.58 °L
Stone IPA Clone,American IPA,7.11,77.71,6.22 °L
Asamushi Japanese Dry Pilsner,Classic American Pilsner,5.46,22.25,3.13 °L
Guinness Clone,Dry Stout,4.7,34.6,42.11 °L
Summer Citra Kölsch (a Successful Experiment),Kölsch,4.84,25.55,3.79 °L
Delirium Tremens Clone,Belgian Golden Strong Ale,8.97,31.75,5.64 °L
FAT YAK,American Pale Ale,5.46,35.01,8.06 °L
Clone - Firestone Wookey Jack - Black Rye IPA,Specialty IPA: Black IPA,7.62,73.29,39.95 °L
Rochefort 8 Clone,No Profile Selected,7.9,26.8,29.4 °L
Holy Water - Trappist Single,Trappist Single,5.45,33.67,3.63 °L
Seizoen Pompoen  (Pumpkin Saison),Saison,7.2,33.4,13 °L
Leffe Clone - 20L,Belgian Blond Ale,6.14,25.48,10.28 °L
Jamil's Tripel,Belgian Tripel,9.85,29.17,5.14 °L
Sam Adams Octoberfest Clone,Oktoberfest/Märzen,6.65,28.22,40.98 °L
New England IPA,American IPA,6.31,93.98,4.82 °L
Yeti Imperial Stout (Great Divide Clone),Russian Imperial Stout,9.26,75.05,50 °L
Dreaded Jake Porter - Robust Porter,Robust Porter,6.32,32.34,33.24 °L
Marshmallow Stout,Imperial Stout,10.29,46.15,44.28 °L
Speedway Stout Clone,Russian Imperial Stout,13.24,54.32,40 °L
Bakke Brygg Havrestout 20 L,Oatmeal Stout,5.46,34,35.89 °L
Probably The Best Stout,Russian Imperial Stout,8.31,63.23,35.91 °L
Fullers London Pride,Best Bitter,4.33,36.14,11.27 °L
Blue Moon (Clone),American Light Lager,4.78,5.04,3.94 °L
The Headless Horsemen Imperial Pumpkin Ale,Holiday/Winter Special Spiced Beer,8.36,59.62,15.51 °L
Kentucky Bourbon Barrel Ale,Wood-Aged Beer,8.62,13.95,37.22 °L
Focal Banger Clone,American IPA,6.98,105.36,6.75 °L
Helles Lager,Munich Helles,4.9,20.26,3.4 °L
Awesome Mexican Lager,Premium American Lager,4.89,22.58,4.95 °L
Bert's Boneyard RPM IPA Clone,American IPA,6.76,90.73,6.81 °L
Russian Imperial Stout,Russian Imperial Stout,9.58,74.52,50 °L
Leffe Blonde Clone V2,Belgian Pale Ale,6.47,10.91,5.93 °L
Founders Breakfast Stout Clone,Imperial Stout,8.46,60.95,50 °L
Hazed And Confused (New England Double IPA),Double IPA,9.11,54.52,8.01 °L
Nutella Stout,Sweet Stout,5.11,23.99,35.08 °L
Delirium Tremens Clone,Belgian Golden Strong Ale,8.18,19.2,3.54 °L
Campfire Stout,Oatmeal Stout,11.59,66.45,50 °L
Bakke Brygg Tsjekkisk Pilsner 25 L,Bohemian Pilsener,4.64,39.32,3.8 °L
